index,bitstring,fitness,peak,valley,global,MAX,fitness_norm,MAX_N,MIN_N
1,0,0.651399428,0,0,0,0.802709394,0.81150094,1,0.25304711
2,1,0.597249482,0,0,0,,0.744041974,,
3,10,0.566511096,0,0,0,,0.705748681,,
4,11,0.465099864,0,0,0,,0.579412509,,
5,100,0.65292623,0,0,0,,0.813403001,,
6,101,0.599937729,0,0,0,,0.747390941,,
7,110,0.506685945,0,0,0,,0.631219653,,
8,111,0.453980552,0,0,0,,0.565560283,,
9,1000,0.492417291,0,0,0,,0.613444037,,
10,1001,0.482236354,0,0,0,,0.60076082,,
11,1010,0.505799975,0,0,0,,0.630115928,,
12,1011,0.384700861,0,0,0,,0.47925297,,
13,1100,0.565548658,0,0,0,,0.704549694,,
14,1101,0.445143676,0,0,0,,0.554551472,,
15,1110,0.373161626,0,0,0,,0.464877612,,
16,1111,0.306436122,0,0,0,,0.381752256,,
17,10000,0.612389466,0,0,0,,0.762903076,,
18,10001,0.55823952,0,0,0,,0.69544411,,
19,10010,0.618824562,0,0,0,,0.770919796,,
20,10011,0.51741333,0,0,0,,0.644583624,,
21,10100,0.557390055,0,0,0,,0.694385863,,
22,10101,0.504401554,0,0,0,,0.628373802,,
23,10110,0.436286254,0,0,0,,0.543517065,,
24,10111,0.383580861,0,1,0,,0.477857695,,
25,11000,0.614407648,0,0,0,,0.765417289,,
26,11001,0.60422671,0,0,0,,0.752734071,,
27,11010,0.60476604,0,0,0,,0.753405958,,
28,11011,0.483666926,0,0,0,,0.602543,,
29,11100,0.586001309,0,0,0,,0.730029215,,
30,11101,0.465596328,0,0,0,,0.580030994,,
31,11110,0.550765126,0,0,0,,0.686132653,,
32,11111,0.484039622,0,0,0,,0.603007297,,
33,100000,0.594672188,0,0,0,,0.74083123,,
34,100001,0.540522242,0,0,0,,0.673372264,,
35,100010,0.509783855,0,0,0,,0.63507897,,
36,100011,0.408372624,0,0,0,,0.508742799,,
37,100100,0.648381314,0,0,0,,0.807741032,,
38,100101,0.595392813,0,0,0,,0.741728971,,
39,100110,0.502141029,0,0,0,,0.625557683,,
40,100111,0.449435636,0,0,0,,0.559898314,,
41,101000,0.523285966,0,0,0,,0.651899641,,
42,101001,0.513105028,0,0,0,,0.639216424,,
43,101010,0.53666865,0,0,0,,0.668571533,,
44,101011,0.415569535,0,0,0,,0.517708573,,
45,101100,0.665335536,0,0,0,,0.828862277,,
46,101101,0.544930554,0,0,0,,0.678864055,,
47,101110,0.472948504,0,0,0,,0.589190195,,
48,101111,0.406223,0,0,0,,0.506064839,,
49,110000,0.705356126,0,0,0,,0.878719162,,
50,110001,0.65120618,0,0,0,,0.811260196,,
51,110010,0.711791221,0,0,0,,0.88673588,,
52,110011,0.610379989,0,0,0,,0.760399708,,
53,110100,0.602798154,0,0,0,,0.750954403,,
54,110101,0.549809653,0,0,0,,0.684942343,,
55,110110,0.481694352,0,0,0,,0.600085605,,
56,110111,0.428988959,0,0,0,,0.534426235,,
57,111000,0.586995904,0,0,0,,0.731268263,,
58,111001,0.576814966,0,0,0,,0.718585045,,
59,111010,0.577354297,0,0,0,,0.719256933,,
60,111011,0.456255182,0,0,0,,0.568393973,,
61,111100,0.665843473,0,0,0,,0.829495055,,
62,111101,0.545438491,0,0,0,,0.679496833,,
63,111110,0.63060729,0,0,0,,0.785598493,,
64,111111,0.563881786,0,0,0,,0.702473137,,
65,1000000,0.610961019,0,0,0,,0.761123544,,
66,1000001,0.556811073,0,0,0,,0.693664578,,
67,1000010,0.526072687,0,0,0,,0.655371285,,
68,1000011,0.424661455,0,0,0,,0.529035113,,
69,1000100,0.612487821,0,0,0,,0.763025605,,
70,1000101,0.55949932,0,0,0,,0.697013545,,
71,1000110,0.466247536,0,0,0,,0.580842257,,
72,1000111,0.413542143,0,0,0,,0.515182887,,
73,1001000,0.472672238,0,0,0,,0.588846028,,
74,1001001,0.4624913,0,0,0,,0.57616281,,
75,1001010,0.486054922,0,0,0,,0.605517919,,
76,1001011,0.364955807,0,0,0,,0.454654959,,
77,1001100,0.545803604,0,0,0,,0.679951684,,
78,1001101,0.425398622,0,0,0,,0.529953462,,
79,1001110,0.353416572,0,0,0,,0.440279601,,
80,1001111,0.286691068,0,0,0,,0.357154246,,
81,1010000,0.618182901,0,0,0,,0.770120427,,
82,1010001,0.564032955,0,0,0,,0.70266146,,
83,1010010,0.624617996,0,0,0,,0.778137145,,
84,1010011,0.523206764,0,0,0,,0.651800973,,
85,1010100,0.56318349,0,0,0,,0.701603213,,
86,1010101,0.510194989,0,0,0,,0.635591153,,
87,1010110,0.442079688,0,0,0,,0.550734414,,
88,1010111,0.389374295,0,0,0,,0.485075044,,
89,1011000,0.605501405,0,0,0,,0.754322062,,
90,1011001,0.595320467,0,0,0,,0.741638844,,
91,1011010,0.595859798,0,0,0,,0.742310732,,
92,1011011,0.474760683,0,0,0,,0.591447772,,
93,1011100,0.577095066,0,0,0,,0.718933988,,
94,1011101,0.456690085,0,0,0,,0.568935767,,
