index,bitstring,fitness,peak,valley,global,MAX,fitness_norm,MAX_N,MIN_N
1,0,0.644452315,0,0,0,0.75206352,0.85691208,1,0.320868903
2,1,0.53483127,0,0,0,,0.711151726,,
3,10,0.619153227,0,0,0,,0.823272517,,
4,11,0.649674727,0,0,0,,0.86385619,,
5,100,0.662435289,0,0,0,,0.880823589,,
6,101,0.590765677,0,0,0,,0.785526304,,
7,110,0.573416919,0,0,0,,0.762458095,,
8,111,0.676600079,0,0,0,,0.899658155,,
9,1000,0.57732168,0,0,0,,0.767650158,,
10,1001,0.483905458,0,0,0,,0.643436951,,
11,1010,0.671196885,0,0,0,,0.892473664,,
12,1011,0.617066312,0,0,0,,0.820497598,,
13,1100,0.602405551,0,0,0,,0.801003552,,
14,1101,0.601293006,0,0,0,,0.799524229,,
15,1110,0.475933633,0,0,0,,0.632837015,,
16,1111,0.623229287,0,0,0,,0.828692352,,
17,10000,0.521689493,0,0,0,,0.693677434,,
18,10001,0.412068447,0,0,0,,0.547917079,,
19,10010,0.434978078,0,0,0,,0.578379441,,
20,10011,0.465499577,0,0,0,,0.618963112,,
21,10100,0.516866856,0,0,0,,0.687264895,,
22,10101,0.445197244,0,0,0,,0.591967609,,
23,10110,0.47561611,0,0,0,,0.632414813,,
24,10111,0.578799269,0,0,0,,0.769614871,,
25,11000,0.594310818,0,0,0,,0.790240189,,
26,11001,0.500894597,0,0,0,,0.666026983,,
27,11010,0.595113413,0,0,0,,0.791307379,,
28,11011,0.54098284,0,0,0,,0.719331314,,
29,11100,0.490905056,0,0,0,,0.652744141,,
30,11101,0.48979251,0,0,0,,0.651264816,,
31,11110,0.385949774,0,0,0,,0.513187734,,
32,11111,0.533245427,0,0,0,,0.70904307,,
33,100000,0.615260312,0,0,0,,0.818096205,,
34,100001,0.505639266,0,0,0,,0.67233585,,
35,100010,0.589961224,0,0,0,,0.784456643,,
36,100011,0.620482724,0,0,0,,0.825040316,,
37,100100,0.610785861,0,0,0,,0.81214664,,
38,100101,0.539116249,0,0,0,,0.716849355,,
39,100110,0.521767491,0,0,0,,0.693781146,,
40,100111,0.624950651,0,0,0,,0.830981206,,
41,101000,0.474893677,0,0,0,,0.631454211,,
42,101001,0.381477456,0,0,0,,0.507241005,,
43,101010,0.568768882,0,0,0,,0.756277717,,
44,101011,0.51463831,0,0,0,,0.684301653,,
45,101100,0.517503626,0,0,0,,0.688111592,,
46,101101,0.516391081,0,0,0,,0.686632269,,
47,101110,0.391031707,0,0,0,,0.519945053,,
48,101111,0.538327361,0,0,0,,0.71580039,,
49,110000,0.548038691,0,0,0,,0.728713302,,
50,110001,0.438417645,0,0,0,,0.582952947,,
51,110010,0.461327276,0,0,0,,0.613415308,,
52,110011,0.491848776,0,0,0,,0.653998981,,
53,110100,0.475151117,0,0,0,,0.631796523,,
54,110101,0.403481505,0,0,0,,0.536499237,,
55,110110,0.433900371,0,0,0,,0.576946441,,
56,110111,0.537083531,0,0,0,,0.714146501,,
57,111000,0.586142182,0,0,0,,0.779378558,,
58,111001,0.492725961,0,0,0,,0.655165352,,
59,111010,0.586944777,0,0,0,,0.780445749,,
60,111011,0.532814205,0,0,0,,0.708469685,,
61,111100,0.501077588,0,0,0,,0.666270301,,
62,111101,0.499965043,0,0,0,,0.664790978,,
63,111110,0.396122306,0,0,0,,0.526713895,,
64,111111,0.54341796,0,0,0,,0.722569232,,
65,1000000,0.662611562,0,0,0,,0.881057975,,
66,1000001,0.552990516,0,0,0,,0.73529762,,
67,1000010,0.637312474,0,0,0,,0.847418412,,
68,1000011,0.667833974,0,0,0,,0.888002085,,
69,1000100,0.680594536,1,0,0,,0.904969484,,
70,1000101,0.608924924,0,0,0,,0.809672199,,
71,1000110,0.591576166,0,0,0,,0.786603991,,
72,1000111,0.694759326,1,0,0,,0.92380405,,
73,1001000,0.619375123,0,0,0,,0.823567566,,
74,1001001,0.525958902,0,0,0,,0.69935436,,
75,1001010,0.713250328,0,0,0,,0.948391072,,
76,1001011,0.659119755,0,0,0,,0.876415007,,
77,1001100,0.644458995,0,0,0,,0.856920962,,
78,1001101,0.64334645,0,0,0,,0.855441639,,
79,1001110,0.517987076,0,0,0,,0.688754423,,
80,1001111,0.66528273,0,0,0,,0.88460976,,
81,1010000,0.608838584,0,0,0,,0.809557395,,
82,1010001,0.499217538,0,0,0,,0.663797039,,
83,1010010,0.522127169,0,0,0,,0.694259401,,
84,1010011,0.552648669,0,0,0,,0.734843074,,
85,1010100,0.604015947,0,0,0,,0.803144855,,
86,1010101,0.532346335,0,0,0,,0.70784757,,
87,1010110,0.562765201,0,0,0,,0.748294773,,
88,1010111,0.665948361,0,0,0,,0.885494833,,
89,1011000,0.613505484,0,0,0,,0.815762855,,
90,1011001,0.520089263,0,0,0,,0.691549649,,
91,1011010,0.614308079,0,0,0,,0.816830045,,
92,1011011,0.560177507,0,0,0,,0.744853981,,
93,1011100,0.510099722,0,0,0,,0.678266807,,
94,1011101,0.508987177,0,0,0,,0.676787483,,
95,1011110,0.40514444,0,0,0,,0.5387104,,
96,1011111,0.552440094,0,0,0,,0.734565737,,
97,1100000,0.635746784,0,0,0,,0.845336553,,
98,1100001,0.526125739,0,0,0,,0.699576199,,
99,1100010,0.610447696,0,0,0,,0.811696991,,
100,1100011,0.640969196,0,0,0,,0.852280664,,
101,1100100,0.631272334,0,0,0,,0.83938699,,
102,1100101,0.559602722,0,0,0,,0.744089704,,
103,1100110,0.542253964,0,0,0,,0.721021496,,
104,1100111,0.645437123,0,0,0,,0.858221554,,
105,1101000,0.658188315,0,0,0,,0.875176494,,
106,1101001,0.564772094,0,0,0,,0.750963288,,
107,1101010,0.75206352,1,0,1,,1,,
108,1101011,0.697932947,0,0,0,,0.928023935,,
109,1101100,0.700798264,1,0,0,,0.931833875,,
110,1101101,0.699685718,0,0,0,,0.93035455,,
111,1101110,0.574326345,0,0,0,,0.763667336,,
112,1101111,0.721621999,1,0,0,,0.959522673,,
113,1110000,0.700527749,1,0,0,,0.931474178,,
114,1110001,0.590906703,0,0,0,,0.785713822,,
115,1110010,0.613816334,0,0,0,,0.816176184,,
116,1110011,0.644337834,0,0,0,,0.856759857,,
117,1110100,0.627640176,0,0,0,,0.8345574,,
118,1110101,0.555970564,0,0,0,,0.739260115,,
119,1110110,0.58638943,0,0,0,,0.779707318,,
120,1110111,0.689572589,1,0,0,,0.916907376,,
121,1111000,0.688709599,0,0,0,,0.91575988,,
122,1111001,0.595293378,0,0,0,,0.791546674,,
123,1111010,0.689512194,0,0,0,,0.916827071,,
124,1111011,0.635381622,0,0,0,,0.844851007,,
125,1111100,0.603645005,0,0,0,,0.802651623,,
126,1111101,0.60253246,0,0,0,,0.8011723,,
127,1111110,0.498689723,0,0,0,,0.663095217,,
128,1111111,0.645985377,0,0,0,,0.858950554,,
129,10000000,0.560461641,0,0,0,,0.745231787,,
130,10000001,0.438567511,0,0,0,,0.58315222,,
131,10000010,0.535162553,0,0,0,,0.711592224,,
132,10000011,0.553410968,0,0,0,,0.735856684,,
133,10000100,0.578444615,0,0,0,,0.769143297,,
134,10000101,0.494501918,0,0,0,,0.657526798,,
135,10000110,0.489426245,0,0,0,,0.650777803,,
136,10000111,0.58033632,0,0,0,,0.771658649,,
137,10001000,0.493331005,0,0,0,,0.655969864,,
138,10001001,0.3876417,0,0,0,,0.515437446,,
139,10001010,0.58720621,0,0,0,,0.78079337,,
140,10001011,0.520802553,0,0,0,,0.692498092,,
141,10001100,0.518414877,0,0,0,,0.68932326,,
142,10001101,0.505029247,0,0,0,,0.671524723,,
143,10001110,0.391942959,0,0,0,,0.521156722,,
144,10001111,0.526965528,0,0,0,,0.700692846,,
145,10010000,0.49739274,0,0,0,,0.661370651,,
146,10010001,0.37549861,0,0,0,,0.499291084,,
147,10010010,0.410681325,0,0,0,,0.546072658,,
148,10010011,0.42892974,0,0,0,,0.570337117,,
149,10010100,0.492570103,0,0,0,,0.654958112,,
150,10010101,0.408627407,0,0,0,,0.543341614,,
151,10010110,0.451319357,0,0,0,,0.600108029,,
152,10010111,0.542229432,0,0,0,,0.720988876,,
153,10011000,0.570014065,0,0,0,,0.757933406,,
154,10011001,0.464324759,0,0,0,,0.617400986,,
155,10011010,0.57081666,0,0,0,,0.759000596,,
156,10011011,0.504413003,0,0,0,,0.670705319,,
157,10011100,0.466608303,0,0,0,,0.620437357,,
158,10011101,0.453222673,0,0,0,,0.602638821,,
159,10011110,0.361653021,0,0,0,,0.480880951,,
160,10011111,0.49667559,0,0,0,,0.660417075,,
161,10100000,0.539733524,0,0,0,,0.71767013,,
162,10100001,0.417839394,0,0,0,,0.555590562,,
163,10100010,0.514434436,0,0,0,,0.684030567,,
164,10100011,0.532682851,0,0,0,,0.708295027,,
165,10100100,0.535259073,0,0,0,,0.711720565,,
166,10100101,0.451316377,0,0,0,,0.600104067,,
167,10100110,0.446240704,0,0,0,,0.593355072,,
168,10100111,0.537150779,0,0,0,,0.714235919,,
169,10101000,0.399366889,0,0,0,,0.531028136,,
170,10101001,0.293677584,0,1,0,,0.390495718,,
171,10101010,0.493242094,0,0,0,,0.655851641,,
172,10101011,0.426838437,0,0,0,,0.567556364,,
173,10101100,0.441976838,0,0,0,,0.587685516,,
174,10101101,0.428591208,0,0,0,,0.56988698,,
175,10101110,0.31550492,0,1,0,,0.419518979,,
176,10101111,0.450527489,0,0,0,,0.599055102,,
177,10110000,0.487003143,0,0,0,,0.647555865,,
178,10110001,0.365109013,0,0,0,,0.485476297,,
179,10110010,0.400291728,0,0,0,,0.532257871,,
180,10110011,0.418540143,0,0,0,,0.556522331,,
181,10110100,0.41411557,0,0,0,,0.550639087,,
182,10110101,0.330172873,0,1,0,,0.439022588,,
183,10110110,0.372864824,0,0,0,,0.495789005,,
184,10110111,0.463774899,0,0,0,,0.616669851,,
185,10111000,0.525106635,0,0,0,,0.698221122,,
186,10111001,0.419417329,0,0,0,,0.557688703,,
187,10111010,0.52590923,0,0,0,,0.699288313,,
188,10111011,0.459505573,0,0,0,,0.610993036,,
189,10111100,0.440042041,0,0,0,,0.585112865,,
190,10111101,0.426656411,0,0,0,,0.567314329,,
191,10111110,0.335086759,0,0,0,,0.445556459,,
192,10111111,0.470109328,0,0,0,,0.625092583,,
193,11000000,0.585902131,0,0,0,,0.779059369,,
194,11000001,0.464008001,0,0,0,,0.616979801,,
195,11000010,0.560603043,0,0,0,,0.745419806,,
196,11000011,0.578851458,0,0,0,,0.769684265,,
197,11000100,0.603885105,0,0,0,,0.802970878,,
198,11000101,0.519942408,0,0,0,,0.691354379,,
199,11000110,0.514866735,0,0,0,,0.684605384,,
200,11000111,0.60577681,0,0,0,,0.805486231,,
201,11001000,0.542665692,0,0,0,,0.72156896,,
202,11001001,0.436976386,0,0,0,,0.581036541,,
203,11001010,0.636540897,0,0,0,,0.846392466,,
204,11001011,0.57013724,0,0,0,,0.758097188,,
205,11001100,0.567749564,0,0,0,,0.754922355,,
206,11001101,0.554363934,0,0,0,,0.737123819,,
207,11001110,0.441277645,0,0,0,,0.586755817,,
208,11001111,0.576300214,0,0,0,,0.76629194,,
209,11010000,0.632285182,0,0,0,,0.840733748,,
210,11010001,0.510391052,0,0,0,,0.678654181,,
211,11010010,0.545573768,0,0,0,,0.725435756,,
212,11010011,0.563822183,0,0,0,,0.749700215,,
213,11010100,0.627462546,0,0,0,,0.83432121,,
214,11010101,0.543519849,0,0,0,,0.722704711,,
215,11010110,0.5862118,0,0,0,,0.779471128,,
